"operator","attribute","label","note","source_url","observed_at","status","record_id","conditions"
"McLuck","redemption","3-5 business days","Processing; cash","https://blog.mcluck.com/faq/minimum-redemption-amount/","2026-09-24T22:08:51.949Z","published","d9bee0c8b5f069ccc769","Processing times are estimates and may vary. | Prize redemptions may take up to 10 days to process."
"McLuck","cash","75 SC","Cash redemption minimum.","https://blog.mcluck.com/faq/minimum-redemption-amount/","2026-09-24T22:08:51.949Z","published","4b9a995d9087a7433222","A Sweepstakes Coin becomes qualifying once it has been used at least once in a Sweepstakes Game."
"McLuck","gift","10 SC","Gift-card redemption minimum.","https://blog.mcluck.com/faq/minimum-redemption-amount/","2026-09-24T22:08:51.949Z","published","4743e0c476f7ce4fd8e9","A Sweepstakes Coin becomes qualifying once it has been used at least once in a Sweepstakes Game."
"YAY Casino","signup","1 SC free","Up to 12 SC with 7-day tasks","https://www.yaycasino.com/promotions/promo/social-casino-sign-up-promotion","2026-09-24T22:08:58.476Z","published","6624008ea08da0087829","New players only. | The signup step alone awards 5,000 GC + 1 SC. | Complete registration and consent to phone and email communications to unlock 40,000 GC + 4 SC and 20 free spins. | Phone verification awards 5,000 GC. | Email and SMS opt-ins each award 10,000 GC + 1 SC. | The first daily bonus awards 10,000 GC + 1 SC. | Within the first 7 days, make 150 spins in SC mode to unlock an additional 80,000 GC + 8 SC. | The overall welcome bonus is advertised as up to 120,000 GC + 12 SC."
"YAY Casino","daily","1 SC first claim","Later daily amounts unverified","https://www.yaycasino.com/promotions","2026-09-24T06:42:23.375Z","retained","ece97c45a8622f00b522","Complete the quick and free sign-up process. | Log into your Yay Casino account daily and go to the Coin Store. | This explicitly states the first daily bonus amount."
"YAY Casino","cash","50 SC","Cash redemption minimum.","https://www.yaycasino.com/blog/understanding-sweeps-coins-your-complete-guide-to-free-sweeps-coins-no-deposit/","2026-09-22T09:26:28.942Z","retained","8de0d08ea87bff367c11","A 1x playthrough requirement must be completed. | KYC verification is required before the first redemption."
"Zonko","purchase","65 SC for $20","3.25 SC per $1. First purchase only.","https://www.zonko.com/promotions/","2026-09-24T22:09:04.531Z","published","df0ab8ece749d94f96e4","First purchase of $20. | Includes a spin of the Welcome Wheel for more FREE SC rewards. | Limited Time Offer."
"Zonko","daily","Daily login reward","Amount not published in collected terms","https://www.zonko.com/promotions/daily-bonus/","2026-09-24T22:04:38.582Z","published","54ab63931f84fa42dd20","Log in every day. | Tap Bonuses from the menu, then head to Daily Bonus to reveal the reward. | Rewards become better with more days logged in."
"Zonko","redemption","Up to 3 business days","Approval; standard tier","https://www.zonko.com/help/play-rules/","2026-09-22T06:38:54.039Z","retained","838b977c3dbc1bf74f99","Subject to necessary verification and account security checks. | May vary depending on verification requirements."
"Zonko","cash","100 SC","Cash redemption minimum.","https://www.zonko.com/help/play-rules/","2026-09-22T06:38:54.039Z","retained","df58565f84965a772e5f","Entrants must accumulate and maintain qualifying Sweepstakes Coins associated with their User Account. | Cash Prize corresponds to $1.00 USD for each qualifying Sweepstakes Coin the user chooses to redeem."
"Lucky Bunny","daily","Daily login reward","Amount not published in collected terms","https://luckybunny.fun/page/sweepstake-rules/","2026-09-24T10:38:43.174Z","retained","36ac4760686ecae6653b","A predetermined amount of free Sweep Coins may be available for logging into the Platform each day."
"Lucky Bunny","redemption","Up to 5 business days","Request to receipt; cash","https://luckybunny.fun/page/sweepstake-rules/","2026-09-24T10:38:43.174Z","retained","c1b4b93c2779ae5244dd","Bank or payment-processor fees for receiving funds are excluded."
"Lucky Bunny","cash","100 SC","Cash redemption minimum.","https://luckybunny.fun/page/sweepstake-rules/","2026-09-24T10:38:43.174Z","retained","2d8a604e782ae50cd7d8","Participant must accumulate redeemable Sweep Coins."
"Dorados","daily","Daily login reward","Amount not published in collected terms","https://dorados.com/en/","2026-09-24T06:33:12.910Z","retained","0816be3757345dd5e63c","Log in daily and collect what is available. | The published text does not state the reward amount, a fixed claim interval in hours, or that every daily claim has the same value."
"Dorados","redemption","Up to 10 business days","Processing; method unspecified","https://dorados.com/en/sweepstakes-rules","2026-09-24T22:06:32.834Z","published","7396a6c4ac16f644a4ff","Prize redemption may be fulfilled through multiple payments over several days. | Further delays may occur for verification, payment-method checks, or fraud-prevention reviews."
"Jackpota","daily","Gold Coins only","No redeemable SC established","https://www.jackpota.com/","2026-09-24T22:03:51.033Z","published","0caf9bb823e9a9603f4e","Free Gold Coins can be obtained by logging into an account every 24 hours. | The amount of Gold Coins is unspecified."
"Stake.us","daily","Daily login reward","Amount not published in collected terms","https://stake.us/policies/terms","2026-09-24T22:09:23.522Z","published","46c475b9b4c047652efd","Claimed by logging into the Customer Account and claiming the daily bonus. | The SC amount is not stated."

